school_id,school_name,postcode,borough,school_type
139169,St Ann's CE Primary School,N15 5JG,Haringey,Primary
139175,St Michael's CofE Primary School,N22 8HE,Haringey,Primary
139176,St Paul's and All Hallows CofE Infant School,N17 0HH,Haringey,Primary
139177,St Paul's and All Hallows CofE Junior School,N17 0TU,Haringey,Primary
139240,Holy Trinity CofE Primary School,N17 9EJ,Haringey,Primary
139362,St Thomas More Catholic School,N22 5HN,Haringey,Secondary
139364,Fulham Cross Academy,SW6 6SN,Hammersmith and Fulham,Secondary
139365,Fulham Cross Girls' School and Language College,SW6 6BP,Hammersmith and Fulham,Secondary
139369,St George's Catholic School,W9 1RB,Westminster,Secondary
139423,Our Lady and St Joseph Catholic Primary School,E14 0DE,Tower Hamlets,Primary
139546,West London Free School Primary,W6 0LB,Hammersmith and Fulham,Primary
139587,The Charter School Bermondsey,SE16 4EE,Southwark,Secondary
139592,Tooting Primary School,SW17 8HE,Wandsworth,Primary
139616,Heartlands High School,N22 7ST,Haringey,Secondary
139645,Ark Brunel Primary Academy,W10 5AT,Kensington and Chelsea,Primary
139659,Oasis Academy South Bank,SE1 7HS,Lambeth,Secondary
139672,Haberdashers' Hatcham Free School,SE14 5SF,Lewisham,Primary
139687,Mosaic Jewish Primary School,SW15 4EU,Wandsworth,Primary
139718,Ark All Saints Academy,SE5 0UB,Southwark,Secondary
139775,Rutherford House School,SW17 7BS,Wandsworth,Primary
139814,"The Olive School, Hackney",E9 6EJ,Hackney,Primary
139820,Ark White City Primary Academy,W12 7PT,Hammersmith and Fulham,Primary
139824,Wilberforce Primary,W10 4LB,Westminster,Primary
139837,Abacus Belsize Primary School,N1C 4PF,Camden,Primary
139842,Burntwood School,SW17 0AQ,Wandsworth,Secondary
139898,Pimlico Primary,SW1V 3AT,Westminster,Primary
139907,Judith Kerr Primary School,SE24 9JE,Southwark,Primary
140050,Gateway Academy,NW8 8LN,Westminster,Primary
140064,Culloden Primary - A Paradigm Academy,E14 0PT,Tower Hamlets,Primary
140096,Old Ford Primary - A Paradigm Academy,E3 5LD,Tower Hamlets,Primary
140210,Mossbourne Victoria Park Academy,E9 7HD,Hackney,Secondary
140212,Kensington Aldridge Academy,W10 6EX,Kensington and Chelsea,Secondary
140213,Kensington Primary Academy,W14 8PU,Kensington and Chelsea,Primary
140221,South Bank University Academy,SE17 2TP,Southwark,Secondary
140222,Oasis Academy Putney,SW15 1LY,Wandsworth,Primary
140423,Floreat Wandsworth Primary School,SW18 4EQ,Wandsworth,Primary
140426,Mossbourne Riverside Academy,E15 2GW,Hackney,Primary
140495,Whitehall Park School,N6 5EP,Islington,Primary
140507,John Donne Primary School,SE15 2SW,Southwark,Primary
140682,Westbridge Academy,SW11 3NE,Wandsworth,Primary
140686,Kings Cross Academy,N1C 4BT,Camden,Primary
140811,Earl's Court Free School Primary,W6 0LB,Hammersmith and Fulham,Primary
140884,Marylebone Boys' School,W2 1QZ,Westminster,Secondary
140937,Harris Primary Academy East Dulwich,SE22 8HA,Southwark,Primary
140966,Trinity Academy,SW2 1QS,Lambeth,Secondary
140985,Harris Academy Battersea,SW11 5AP,Wandsworth,Secondary
