school_id,school_name,postcode,borough,school_type,centroid_latitude,centroid_longitude
101107,St John's Wood Primary School,NW8 7AL,Westminster,Primary,51.5328,-0.169076
101110,Edward Wilson Primary School,W2 5TL,Westminster,Primary,51.52168,-0.189169
101111,Essendine Primary School,W9 2LR,Westminster,Primary,51.5276,-0.195336
101116,Hallfield Primary School,W2 6JJ,Westminster,Primary,51.51494,-0.18641
101120,Queen's Park Primary School,W10 4DQ,Westminster,Primary,51.52747,-0.209325
101121,All Souls CofE Primary School,W1W 7JJ,Westminster,Primary,51.51985,-0.138605
101122,Burdett-Coutts and Townshend Foundation CofE Primary School,SW1P 2QQ,Westminster,Primary,51.49511,-0.135003
101123,Hampden Gurney CofE Primary School,W1H 5HA,Westminster,Primary,51.51679,-0.164054
101125,St Augustines Federated Schools: CofE Primary School,NW6 5XA,Westminster,Primary,51.53453,-0.191557
101126,St Barnabas' CofE Primary School,SW1W 8PF,Westminster,Primary,51.49059,-0.151667
101127,St Clement Danes CofE Primary School,WC2B 5SU,Westminster,Primary,51.51366,-0.119732
101128,St Edward's Catholic Primary School,NW1 6LH,Westminster,Primary,51.52333,-0.165679
101129,St Gabriel's CofE Primary School,SW1V 3AG,Westminster,Primary,51.48618,-0.141777
101130,St George's Hanover Square CofE Primary School,W1K 2XH,Westminster,Primary,51.50882,-0.150093
101131,Soho Parish CofE Primary School,W1D 7LF,Westminster,Primary,51.51174,-0.134367
101132,St James & St John Church of England Primary School,W2 3QD,Westminster,Primary,51.51295,-0.17924
101134,St Luke's CofE Primary School,W9 3EJ,Westminster,Primary,51.53156,-0.202763
101135,St Mary Magdalene & St Stephen's CofE Primary School,W2 5TF,Westminster,Primary,51.52246,-0.189254
101136,St Mary's Bryanston Square CofE School,W1H 1DL,Westminster,Primary,51.52042,-0.163028
101137,St. Mary of the Angels Catholic Primary School,W2 5PR,Westminster,Primary,51.51844,-0.197485
101138,"St Matthew's School, Westminster",SW1P 2DG,Westminster,Primary,51.4974,-0.131322
101139,St Peter's CofE School,W9 2AN,Westminster,Primary,51.5237,-0.195994
101140,St Peter's Eaton Square CofE Primary School,SW1W 0NL,Westminster,Primary,51.49601,-0.146391
101141,St Saviour's CofE Primary School,W9 2JD,Westminster,Primary,51.52416,-0.188221
101143,St Vincent's Catholic Primary School,W1U 4DF,Westminster,Primary,51.51862,-0.152665
101147,Christ Church Bentinck CofE Primary School,NW1 5NS,Westminster,Primary,51.52145,-0.16636
101154,St Augustine's Federated Schools: CE High School,NW6 5SN,Westminster,Secondary,51.53428,-0.192418
102709,Altmore Infant School,E6 2BX,Newham,Primary,51.53635,0.057743
102710,Avenue Primary School,E12 6AR,Newham,Primary,51.55073,0.050487
102711,Brampton Primary School,E6 3LB,Newham,Primary,51.52477,0.04589
102712,Carpenters Primary School,E15 2JQ,Newham,Primary,51.53669,-0.005861
102716,Dersingham Primary School,E12 5QJ,Newham,Primary,51.55068,0.061722
102721,Godwin Junior School,E7 0JW,Newham,Primary,51.55211,0.030283
102722,Woodgrange Infant School,E7 0NJ,Newham,Primary,51.55086,0.028323
102723,Grange Primary School,E13 0HE,Newham,Primary,51.52482,0.016931
102725,Keir Hardie Primary School,E16 1FZ,Newham,Primary,51.51648,0.02067
102728,Lathom Junior School,E6 2DU,Newham,Primary,51.53807,0.052701
102729,Stratford Manor Primary School & Nursery,E15 3BA,Newham,Primary,51.5327,0.007403
102730,Maryland Primary School,E15 1SL,Newham,Primary,51.55069,0.009348
102735,Odessa Infant School,E7 9BY,Newham,Primary,51.55016,0.017792
102736,Park Primary School,E15 4AE,Newham,Primary,51.54231,0.014416
102740,Roman Road Primary School,E6 3SQ,Newham,Primary,51.52097,0.046138
102742,Salisbury Primary School,E12 6TH,Newham,Primary,51.54912,0.047934
102745,William Davies Primary School,E7 8NL,Newham,Primary,51.54206,0.039945
102746,Star Primary School,E16 4NH,Newham,Primary,51.52147,0.007284
102748,St Stephen's Primary School,E6 1AS,Newham,Primary,51.53764,0.037916
102751,Winsor Primary School,E6 5NA,Newham,Primary,51.50946,0.062959
102752,Colegrave Primary School,E15 1JY,Newham,Primary,51.5484,0.001474
102755,Southern Road Primary School,E13 9JH,Newham,Primary,51.53061,0.029399
102759,Ellen Wilkinson Primary School,E6 5UP,Newham,Primary,51.51601,0.045022
102763,Essex Primary School,E12 6QX,Newham,Primary,51.54609,0.055673
102764,St James' CofE Junior School,E7 9DA,Newham,Primary,51.54992,0.017421
102765,West Ham Church Primary School,E15 3QG,Newham,Primary,51.53705,0.01156
102766,St Luke's Primary School,E16 1JB,Newham,Primary,51.51332,0.013771
102776,Little Ilford School,E12 6JB,Newham,Secondary,51.54727,0.061279
102786,St Angela's Ursuline School,E7 8HU,Newham,Secondary,51.54211,0.029636
102787,St Bonaventure's RC School,E7 9QD,Newham,Secondary,51.53864,0.025473
121792,Springfield Community Primary School,N16 6DH,Hackney,Primary,51.57516,-0.064317
130302,Rushmore Primary School,E5 0LE,Hackney,Primary,51.55528,-0.046464
130303,Gayhurst Community School,E8 3EN,Hackney,Primary,51.54237,-0.062578
130342,Christopher Hatton Primary School,EC1R 4PQ,Camden,Primary,51.52275,-0.112625
130352,Arnhem Wharf Primary School,E14 3RP,Tower Hamlets,Primary,51.49532,-0.026526
130381,Sandringham Primary School,E7 8ED,Newham,Primary,51.54677,0.034675
130912,Paddington Academy,W9 2DR,Westminster,Secondary,51.52535,-0.192123
130918,Bessemer Grange Primary School,SE5 8HP,Southwark,Primary,51.45874,-0.086779
130932,William Patten Primary School,N16 0NX,Hackney,Primary,51.56181,-0.074925
130995,Central Park Primary School,E6 3DW,Newham,Primary,51.52869,0.042447
131062,The Excelsior Academy,E8 2EY,Hackney,Secondary,51.55171,-0.071716
131141,Hoxton Garden Primary,N1 5JD,Hackney,Primary,51.53378,-0.080649
131247,Bonneville Primary School,SW4 9LB,Lambeth,Primary,51.45325,-0.140365
131262,Westminster Academy,W2 5EZ,Westminster,Secondary,51.52112,-0.192911
131325,Newington Green Primary School,N1 4ND,Islington,Primary,51.55098,-0.083358
131340,Hill Mead Primary School,SW9 8UE,Lambeth,Primary,51.46196,-0.107303
131520,"Sacred Heart Catholic Primary School, Battersea",SW11 2TD,Wandsworth,Primary,51.46938,-0.166951
131609,The Bridge Academy,E2 8BA,Hackney,Secondary,51.53566,-0.072639
131690,Arts and Media School Islington,N4 3LS,Islington,Secondary,51.56711,-0.115752
131706,Betty Layward Primary School,N16 9EX,Hackney,Primary,51.55789,-0.084583
131737,Harry Gosling Primary School,E1 1NT,Tower Hamlets,Primary,51.51389,-0.066136
131740,Rotherfield Primary School,N1 3EE,Islington,Primary,51.5385,-0.090055
131747,Harris Academy Bermondsey,SE16 3TZ,Southwark,Secondary,51.49326,-0.0709
131752,Ark Burlington Danes Academy,W12 0HR,Hammersmith and Fulham,Secondary,51.51892,-0.229868
131773,Canonbury Primary School,N1 2UT,Islington,Primary,51.54501,-0.101565
131824,Hitherfield Primary School,SW16 2JQ,Lambeth,Primary,51.43548,-0.115563
131842,Hugh Myddelton Primary School,EC1R 1YJ,Islington,Primary,51.52777,-0.106117
131843,Brunswick Park Primary School,SE5 7QH,Southwark,Primary,51.47758,-0.090398
131874,Henry Fawcett Primary School,SE11 5BZ,Lambeth,Primary,51.48471,-0.111864
131936,St Mary and St Michael Primary School,E1 0BD,Tower Hamlets,Primary,51.51371,-0.052899
132058,Kingsford Community School,E6 5JG,Newham,Secondary,51.51439,0.055399
132137,St John and St James CofE Primary School,E9 6DX,Hackney,Primary,51.54807,-0.049932
132245,Kingsgate Primary School,NW6 4LB,Camden,Primary,51.54347,-0.196741
132711,Harris Girls' Academy East Dulwich,SE22 0NR,Southwark,Secondary,51.4575,-0.054947
132789,Sir John Heron Primary School,E12 5PY,Newham,Primary,51.55128,0.055229
132812,Plaistow Primary School,E13 9DQ,Newham,Primary,51.53171,0.029534
133574,Lansbury Lawrence Primary School,E14 6DZ,Tower Hamlets,Primary,51.51352,-0.019253
133599,Yesodey Hatorah Senior Girls School,N16 6UB,Hackney,Secondary,51.57352,-0.068341
133662,Jubilee Primary School,SW2 2JE,Lambeth,Primary,51.45241,-0.113858
134009,Larmenier & Sacred Heart Catholic Primary School,W6 7BL,Hammersmith and Fulham,Primary,51.49529,-0.218121
134041,Gatton (VA) Primary School,SW17 0DS,Wandsworth,Primary,51.43033,-0.167118
134160,Malmesbury Primary School,E3 2AB,Tower Hamlets,Primary,51.52728,-0.02957
134222,City of London Academy (Southwark),SE1 5LA,Southwark,Secondary,51.48923,-0.064674
134225,Harris Academy Peckham,SE15 5DZ,Southwark,Secondary,51.47378,-0.074026
134273,Normand Croft Community School for Early Years and Primary Education,W14 9PA,Hammersmith and Fulham,Primary,51.48558,-0.203477
134507,The Orchard School,SW2 3ES,Lambeth,Primary,51.44444,-0.11823
134693,Mossbourne Community Academy,E5 8JY,Hackney,Secondary,51.55149,-0.062653
134815,The Elms Academy,SW4 9ET,Lambeth,Secondary,51.45739,-0.141161
134903,Rye Oak Primary School,SE15 3PD,Southwark,Primary,51.46417,-0.064353
135070,Haberdashers' Knights Academy,BR1 5EB,Lewisham,Secondary,51.42791,0.016486
135073,Haberdashers' Hatcham College,SE14 5SF,Lewisham,Secondary,51.46733,-0.043241
135315,Ark Walworth Academy,SE1 5UJ,Southwark,Secondary,51.48709,-0.079457
135316,Ashcroft Technology Academy,SW15 2UT,Wandsworth,Secondary,51.45632,-0.207706
135389,Ark Evelyn Grace Academy,SE24 0QN,Lambeth,Secondary,51.46067,-0.104247
135531,Chelsea Academy,SW10 0AB,Kensington and Chelsea,Secondary,51.47821,-0.183029
135587,City of London Academy Islington,N1 8PQ,Islington,Secondary,51.53595,-0.097833
135614,Iqra Primary School,SW4 9PA,Lambeth,Primary,51.45524,-0.130021
135676,Pimlico Academy,SW1V 3AT,Westminster,Secondary,51.48818,-0.137173
135762,Saint John Bosco College,SW11 3DQ,Wandsworth,Secondary,51.47474,-0.171935
135816,Harris Boys' Academy East Dulwich,SE22 0AT,Southwark,Secondary,51.45661,-0.065421
135835,"The City Academy, Hackney",E9 6EA,Hackney,Secondary,51.54866,-0.048608
136137,Skinners' Academy,N4 1SY,Hackney,Secondary,51.57315,-0.090984
136172,Hammersmith Academy,W12 9JD,Hammersmith and Fulham,Secondary,51.50164,-0.23489
136298,The Charter School North Dulwich,SE24 9JH,Southwark,Secondary,51.45641,-0.089266
136309,Kingsdale Foundation School,SE21 8SQ,Southwark,Secondary,51.43223,-0.084952
136450,Platanos College,SW9 0AL,Lambeth,Secondary,51.47387,-0.12
136665,Dulwich Hamlet Junior School,SE21 7AL,Southwark,Primary,51.45163,-0.087062
136669,Brampton Manor Academy,E6 3SQ,Newham,Secondary,51.52097,0.046138
136750,West London Free School,W6 9LP,Hammersmith and Fulham,Secondary,51.49287,-0.236712
136807,St Luke's Church of England School,NW3 7SU,Camden,Primary,51.55767,-0.192832
136883,Chestnut Grove Academy,SW12 8JZ,Wandsworth,Secondary,51.44466,-0.155464
136978,Stratford School Academy,E7 9PR,Newham,Secondary,51.54075,0.023057
137005,Graveney School,SW17 9BU,Wandsworth,Secondary,51.42352,-0.152273
137016,"Canary Wharf College, East Ferry",E14 3BA,Tower Hamlets,Primary,51.48918,-0.013582
